Problema,PC,PM,TC,TM,Tiempo,Iteraciones,Evaluaciones,Fitness
problem_mknap6,0.9,0.3,0,0,307.5 +- 19.648199004945237,49985.0 +- 0.0,50000.0 +- 0.0,10437.566666666668 +- 40.36615459492778
problem_mknap6,0.9,0.3,0,1,261.03333333333336 +- 21.04262231811873,49985.0 +- 0.0,50000.0 +- 0.0,10291.133333333333 +- 247.04958783728966
problem_mknap6,0.9,0.3,1,0,347.3666666666667 +- 21.592596645263804,49985.0 +- 0.0,50000.0 +- 0.0,10440.4 +- 43.56730821186439
problem_mknap6,0.9,0.3,1,1,291.5 +- 21.49538843887058,49985.0 +- 0.0,50000.0 +- 0.0,10347.233333333334 +- 248.0582083153945
problem_mknap6,0.75,0.01,0,0,281.3 +- 17.665766622052598,49985.0 +- 0.0,50000.0 +- 0.0,10322.733333333334 +- 221.61724278325136
problem_mknap6,0.75,0.01,0,1,259.4 +- 20.55539194301667,49985.0 +- 0.0,50000.0 +- 0.0,10288.866666666667 +- 237.1960826177266
problem_mknap6,0.75,0.01,1,0,318.26666666666665 +- 23.129222199205703,49985.0 +- 0.0,50000.0 +- 0.0,10263.133333333333 +- 450.3144291020122
problem_mknap6,0.75,0.01,1,1,282.5 +- 23.192968613427826,49985.0 +- 0.0,50000.0 +- 0.0,10300.2 +- 241.51110490638615
problem_mknap6,0.75,0.1,0,0,294.56666666666666 +- 24.202711921762322,49985.0 +- 0.0,50000.0 +- 0.0,10548.566666666668 +- 49.35143734295985
problem_mknap6,0.75,0.1,0,1,260.3 +- 16.938326261815956,49985.0 +- 0.0,50000.0 +- 0.0,10288.866666666667 +- 237.1960826177266
problem_mknap6,0.75,0.1,1,0,317.6333333333333 +- 34.852876330451515,48486.26666666667 +- 6159.452292787601,48501.333333333336 +- 6159.217361462989,10561.033333333333 +- 41.42336782902677
problem_mknap6,0.75,0.1,1,1,290.53333333333336 +- 19.82637277646278,49985.0 +- 0.0,50000.0 +- 0.0,10300.2 +- 241.51110490638615
problem_mknap6,0.75,0.3,0,0,303.93333333333334 +- 19.59052081357528,49985.0 +- 0.0,50000.0 +- 0.0,10452.6 +- 46.22478809559605
problem_mknap6,0.75,0.3,0,1,262.06666666666666 +- 20.797767342596696,49985.0 +- 0.0,50000.0 +- 0.0,10288.866666666667 +- 237.1960826177266
problem_mknap6,0.75,0.3,1,0,338.0 +- 16.254442363603992,49985.0 +- 0.0,50000.0 +- 0.0,10435.666666666666 +- 42.33717966054418
problem_mknap6,0.75,0.3,1,1,287.9 +- 17.630987610963007,49985.0 +- 0.0,50000.0 +- 0.0,10300.2 +- 241.51110490638615
problem_mknap6,0.5,0.01,0,0,286.1 +- 20.75032197506741,49985.0 +- 0.0,50000.0 +- 0.0,10317.0 +- 264.3032479871402
problem_mknap6,0.5,0.01,0,1,257.4 +- 11.619246815165091,49985.0 +- 0.0,50000.0 +- 0.0,10289.866666666667 +- 206.3022110857045
problem_mknap6,0.5,0.01,1,0,306.6333333333333 +- 16.28513884271291,49985.0 +- 0.0,50000.0 +- 0.0,10278.066666666668 +- 401.7127926965881
problem_mknap6,0.5,0.01,1,1,272.1333333333333 +- 21.466466765685936,49985.0 +- 0.0,50000.0 +- 0.0,10295.233333333334 +- 233.57103081671235
problem_mknap6,0.5,0.1,0,0,285.4 +- 25.43768586308443,48956.6 +- 5632.77878138313,48971.63333333333 +- 5632.5962071972945,10570.233333333334 +- 29.41461439879648
problem_mknap6,0.5,0.1,0,1,274.8 +- 20.78361423548982,49985.0 +- 0.0,50000.0 +- 0.0,10289.866666666667 +- 206.3022110857045
problem_mknap6,0.5,0.1,1,0,305.06666666666666 +- 38.24957365850594,48452.566666666666 +- 8393.483045395,48467.6 +- 8393.300471209166,10557.666666666666 +- 37.34031133473197
problem_mknap6,0.5,0.1,1,1,274.3333333333333 +- 20.693716076564673,49985.0 +- 0.0,50000.0 +- 0.0,10295.233333333334 +- 233.57103081671235
problem_mknap6,0.5,0.3,0,0,309.56666666666666 +- 21.199680110360372,49985.0 +- 0.0,50000.0 +- 0.0,10437.0 +- 47.638002795507994
problem_mknap6,0.5,0.3,0,1,260.3333333333333 +- 18.34597265460946,49985.0 +- 0.0,50000.0 +- 0.0,10289.866666666667 +- 206.3022110857045
problem_mknap6,0.5,0.3,1,0,325.1 +- 24.854542358733323,49985.0 +- 0.0,50000.0 +- 0.0,10429.2 +- 53.53529290297099
problem_mknap6,0.5,0.3,1,1,283.5 +- 18.556066021840312,49985.0 +- 0.0,50000.0 +- 0.0,10295.233333333334 +- 233.57103081671235
problem_mknap7,0.9,0.01,0,0,304.56666666666666 +- 22.649782420106398,49985.0 +- 0.0,50000.0 +- 0.0,15843.966666666667 +- 592.2205136447142
problem_mknap7,0.9,0.01,0,1,271.3333333333333 +- 20.75361760460477,49985.0 +- 0.0,50000.0 +- 0.0,15777.233333333334 +- 532.814497274377
problem_mknap7,0.9,0.01,1,0,347.3333333333333 +- 22.562301993909394,49985.0 +- 0.0,50000.0 +- 0.0,15885.1 +- 698.2396263905887
problem_mknap7,0.9,0.01,1,1,313.93333333333334 +- 16.442026331479262,49985.0 +- 0.0,50000.0 +- 0.0,16007.033333333333 +- 517.0312125129814
problem_mknap7,0.9,0.1,0,0,311.93333333333334 +- 32.60731178139644,48813.433333333334 +- 6416.93490954469,48828.46666666667 +- 6416.752335358858,16446.066666666666 +- 44.360539573638725
problem_mknap7,0.9,0.1,0,1,272.93333333333334 +- 19.64501048056756,49985.0 +- 0.0,50000.0 +- 0.0,15777.233333333334 +- 532.814497274377
problem_mknap7,0.9,0.1,1,0,351.3666666666667 +- 26.99614702180644,48920.96666666667 +- 4430.937384154605,48936.066666666666 +- 4430.7138129148025,16463.533333333333 +- 61.259613367087624
problem_mknap7,0.9,0.1,1,1,305.23333333333335 +- 18.788630702586097,49985.0 +- 0.0,50000.0 +- 0.0,16007.033333333333 +- 517.0312125129814
problem_mknap7,0.9,0.3,0,0,326.3333333333333 +- 20.667037445691367,49985.0 +- 0.0,50000.0 +- 0.0,16148.666666666666 +- 67.54019663074382
problem_mknap7,0.9,0.3,0,1,266.6666666666667 +- 19.19111384403502,49985.0 +- 0.0,50000.0 +- 0.0,15777.233333333334 +- 532.814497274377
problem_mknap7,0.9,0.3,1,0,376.6 +- 22.740818533777688,49985.0 +- 0.0,50000.0 +- 0.0,16149.533333333333 +- 65.68615732685097
problem_mknap7,0.9,0.3,1,1,311.4 +- 21.246663023994437,49985.0 +- 0.0,50000.0 +- 0.0,16007.033333333333 +- 517.0312125129814
problem_mknap7,0.75,0.01,0,0,305.56666666666666 +- 18.427272392193373,49985.0 +- 0.0,50000.0 +- 0.0,15807.4 +- 618.5570862624703
problem_mknap7,0.75,0.01,0,1,269.9 +- 22.87801233227795,49985.0 +- 0.0,50000.0 +- 0.0,15838.166666666666 +- 616.5318507494205
problem_mknap7,0.75,0.01,1,0,332.06666666666666 +- 19.185003722076573,49985.0 +- 0.0,50000.0 +- 0.0,15947.066666666668 +- 562.6031818519027
problem_mknap7,0.75,0.01,1,1,302.93333333333334 +- 19.932529872709004,49985.0 +- 0.0,50000.0 +- 0.0,15898.6 +- 691.5832211123532
